[2026-03-04 12:50:51] [INFO    ] [run] [>] GET / from 127.0.0.1
[2026-03-04 12:50:51] [INFO    ] [run] [*] Accessing Home Page
[2026-03-04 12:50:51] [INFO    ] [run] [>] GET /dashboard/api/stats/killchain from 127.0.0.1
[2026-03-04 12:50:51] [INFO    ] [run] [>] GET /dashboard/api/stats/reports from 127.0.0.1
[2026-03-04 12:50:51] [INFO    ] [run] [>] GET /dashboard/api/stats/sniffer from 127.0.0.1
[2026-03-04 12:50:51] [INFO    ] [run] [>] GET /dashboard/api/stats/compliance from 127.0.0.1
[2026-03-04 12:50:51] [INFO    ] [run] [>] GET /dashboard/api/stats/usage from 127.0.0.1
[2026-03-04 12:50:52] [INFO    ] [run] [>] GET / from 127.0.0.1
[2026-03-04 12:50:52] [INFO    ] [run] [*] Accessing Home Page
[2026-03-04 12:50:52] [INFO    ] [run] [>] GET /dashboard/api/stats/killchain from 127.0.0.1
[2026-03-04 12:50:52] [INFO    ] [run] [>] GET /dashboard/api/stats/reports from 127.0.0.1
[2026-03-04 12:50:52] [INFO    ] [run] [>] GET /dashboard/api/stats/sniffer from 127.0.0.1
[2026-03-04 12:50:52] [INFO    ] [run] [>] GET /dashboard/api/stats/compliance from 127.0.0.1
[2026-03-04 12:50:52] [INFO    ] [run] [>] GET /dashboard/api/stats/usage from 127.0.0.1
[2026-03-04 12:52:09] [INFO    ] [run] [>] GET / from 127.0.0.1
[2026-03-04 12:52:09] [INFO    ] [run] [*] Accessing Home Page
[2026-03-04 12:52:10] [INFO    ] [run] [>] GET /dashboard/api/stats/killchain from 127.0.0.1
[2026-03-04 12:52:10] [INFO    ] [run] [>] GET /dashboard/api/stats/reports from 127.0.0.1
[2026-03-04 12:52:10] [INFO    ] [run] [>] GET /dashboard/api/stats/sniffer from 127.0.0.1
[2026-03-04 12:52:10] [INFO    ] [run] [>] GET /dashboard/api/stats/compliance from 127.0.0.1
[2026-03-04 12:52:10] [INFO    ] [run] [>] GET /dashboard/api/stats/usage from 127.0.0.1
[2026-03-04 12:52:45] [INFO    ] [run] [>] GET / from 127.0.0.1
[2026-03-04 12:52:45] [INFO    ] [run] [*] Accessing Home Page
[2026-03-04 12:52:45] [INFO    ] [run] [>] GET /dashboard/api/stats/killchain from 127.0.0.1
