2026-02-13 13:27:02,130 [main ] INFO  ExtensionLoader - Initializing ExtensionInvoke - Invoke external applications passing context related information such as URLs and parameters
2026-02-13 13:27:02,131 [main ] INFO  ExtensionLoader - Initializing Anti-CSRF Extension - Handles anti cross site request forgery (CSRF) tokens
2026-02-13 13:27:02,139 [main ] INFO  ExtensionLoader - Initializing Authentication Extension - Authentication Extension
2026-02-13 13:27:02,149 [main ] INFO  ExtensionAuthentication - Loaded authentication method types: [Form-based Authentication, HTTP/NTLM Authentication, Manual Authentication, Script-based Authentication, JSON-based Authentication]
2026-02-13 13:27:02,152 [main ] INFO  ExtensionLoader - Initializing Users Extension - Users Extension
2026-02-13 13:27:02,153 [main ] INFO  ExtensionLoader - Initializing Parameters Extension - Summarise and analyse FORM and URL parameters as well as cookies
2026-02-13 13:27:02,154 [main ] INFO  ExtensionLoader - Initializing Script Extension - Script integration
2026-02-13 13:27:02,163 [main ] INFO  ExtensionLoader - Initializing ExtensionScripts - Scripting console, supports all JSR 223 scripting languages
2026-02-13 13:27:02,175 [main ] INFO  ExtensionLoader - Initializing Forced User Extension - Forced User Extension
2026-02-13 13:27:02,176 [main ] INFO  ExtensionLoader - Initializing HTTP Sessions Extension - Extension handling HTTP sessions
2026-02-13 13:27:02,179 [main ] INFO  ExtensionLoader - Initializing ExtensionZest - Zest is a specialized scripting language, originally, from Mozilla specifically designed to be used in security tools
2026-02-13 13:27:02,872 [main ] INFO  ExtensionLoader - Initializing ExtensionDiff - ExtensionDiff
2026-02-13 13:27:02,872 [main ] INFO  ExtensionLoader - Initializing HTTP Panel Post Table View Extension - HTTP Panel Post Table View Extension
2026-02-13 13:27:02,872 [main ] INFO  ExtensionLoader - Initializing Encoder Addon - Adds support for scriptable encoders to ZAP.
2026-02-13 13:27:02,873 [main ] INFO  ExtensionLoader - Initializing Session Management Extension - Session Management Extension
2026-02-13 13:27:02,881 [main ] INFO  ExtensionSessionManagement - Loaded session management method types: [Cookie-based Session Management, HTTP Authentication Session Management, Script-based Session Management]
2026-02-13 13:27:02,882 [main ] INFO  ExtensionLoader - Initializing HTTP Panel Form Table View Extension - HTTP Panel Form Table View Extension
2026-02-13 13:27:02,883 [main ] INFO  ExtensionLoader - Initializing WebSockets Support - Capture messages from WebSockets with the ability to set breakpoints.
2026-02-13 13:27:02,909 [main ] INFO  ExtensionLoader - Initializing SOAP/WSDL Support - Allows you to import a WSDL file containing operations which ZAP will access, adding them to the Sites tree.
2026-02-13 13:27:02,912 [main ] INFO  ExtensionLoader - Initializing Core UI Extension - Core UI related functionality.
2026-02-13 13:27:02,913 [main ] INFO  ExtensionLoader - Initializing Authorization Extension - Authorization Extension
2026-02-13 13:27:02,913 [main ] INFO  ExtensionLoader - Initializing Requester - Allows to manually edit and send messages.
2026-02-13 13:27:02,926 [main ] INFO  ExtensionLoader - Initializing AJAX Spider - AJAX Spider, uses Crawljax
2026-02-13 13:27:02,936 [main ] INFO  ExtensionLoader - Initializing WebDriver Provider - Provides WebDrivers to control several browsers using Selenium and includes HtmlUnit browser.
2026-02-13 13:27:02,972 [main ] INFO  ExtensionLoader - Initializing Refresh Sites Tree Extension - Adds menu item to refresh the Sites tree
2026-02-13 13:27:02,973 [main ] INFO  ExtensionLoader - Initializing Help Extension - ZAP User Guide
2026-02-13 13:27:02,973 [main ] INFO  ExtensionLoader - Initializing Call Home - Handles all of the calls to ZAP services
2026-02-13 13:27:02,976 [main ] INFO  ExtensionLoader - Initializing Network Extension - Provides core networking capabilities.
2026-02-13 13:27:03,070 [main ] INFO  ConnectionOptions - Unsafe SSL/TLS renegotiation disabled.
2026-02-13 13:27:03,073 [main ] INFO  ExtensionLoader - Initializing Extension Configuration Extension - Allows you to configure which extensions are loaded when ZAP starts
2026-02-13 13:27:03,073 [main ] INFO  ExtensionLoader - Initializing Combined HTTP Panels Extension - Combined HTTP Panels Extension
2026-02-13 13:27:03,073 [main ] INFO  ExtensionLoader - Initializing HTTP Panel Hex View Extension - HTTP Panel Hex View Extension
2026-02-13 13:27:03,073 [main ] INFO  ExtensionLoader - Initializing HTTP Panel Image View Extension - HTTP Panel Image View Extension
2026-02-13 13:27:03,074 [main ] INFO  ExtensionLoader - Initializing HTTP Panel Query Table View Extension - HTTP Panel Query Table View Extension
2026-02-13 13:27:03,074 [main ] INFO  ExtensionLoader - Initializing HTTP Panel Syntax Highlighter View Extension - HTTP Panel Syntax Highlighter View Extension
2026-02-13 13:27:03,074 [main ] INFO  ExtensionLoader - Initializing Keyboard Configuration Extension - Adds support for configurable keyboard shortcuts for all of the ZAP menus.
2026-02-13 13:27:03,074 [main ] INFO  ExtensionLoader - Initializing Scanner Rule Configuration Extension - Active and passive rule configuration
2026-02-13 13:27:03,077 [main ] INFO  ExtensionLoader - Initializing Statistics Extension - Statistics
2026-02-13 13:27:03,078 [main ] INFO  ExtensionStats - Start recording in memory stats
2026-02-13 13:27:03,079 [main ] INFO  ExtensionLoader - Initializing Custom Pages Extension - Custom Pages Definition
2026-02-13 13:27:03,079 [main ] INFO  ExtensionLoader - Initializing ExtensionAlertFilters - Context alert rules filter
2026-02-13 13:27:03,081 [main ] INFO  ExtensionLoader - Initializing Alert Filters Automation - Alert Filters Automation Framework Integration
2026-02-13 13:27:03,085 [main ] INFO  ExtensionLoader - Initializing Active Scan Rules - Release status active scan rules
2026-02-13 13:27:03,085 [main ] INFO  ExtensionLoader - Initializing Authentication Helper - Authentication Helper
2026-02-13 13:27:03,091 [main ] INFO  ExtensionLoader - Initializing Client Spider Browser Based Authentication Support - Enables browser based authentication when performing an authenticated Client Spider scan.
2026-02-13 13:27:03,094 [main ] INFO  ExtensionLoader - Initializing Authentication Helper Reports - Authentication Helper Reports
2026-02-13 13:27:03,096 [main ] INFO  ExtensionLoader - Initializing AJAX Spider Browser Based Authentication Support - Enables browser based authentication when performing an authenticated AJAX Spider scan.
2026-02-13 13:27:03,097 [main ] INFO  ExtensionLoader - Initializing Automation Framework - Provides functionality to simplify using ZAP in an automated manner
2026-02-13 13:27:03,100 [main ] INFO  ExtensionLoader - Initializing ExtensionClientIntegration - Client Side Integration
2026-02-13 13:27:03,126 [main ] INFO  ExtensionLoader - Initializing Client Spider Automation - Client Spider Automation Framework Integration
2026-02-13 13:27:03,131 [main ] INFO  ExtensionLoader - Initializing Client Zest Script Recording Support - Allows recording client events as Zest scripts.
2026-02-13 13:27:03,135 [main ] INFO  ExtensionLoader - Initializing Common Library - A library of shared functionality
2026-02-13 13:27:03,137 [main ] INFO  ExtensionLoader - Initializing Database Extension - Provides databases and persistence capabilities.
2026-02-13 13:27:03,137 [main ] INFO  ExtensionLoader - Initializing ExtensionDomXSS - DOM XSS Active Scan Rule
2026-02-13 13:27:03,264 [main ] INFO  ExtensionLoader - Initializing Import/Export - Import and Export functionality supporting multiple formats.
2026-02-13 13:27:03,266 [main ] INFO  ExtensionLoader - Initializing Import/Export Automation - Import/Export Automation Framework Integration
2026-02-13 13:27:03,271 [main ] INFO  ExtensionLoader - Initializing ExtensionFormHandler - This extension allows a user to change the default values used for generated content (e.g. spiders, importers).
2026-02-13 13:27:03,275 [main ] INFO  ExtensionLoader - Initializing Advance Fuzzer - Provides the foundation for concrete message types (for example, HTTP, WebSockets) expose fuzzer implementations.
2026-02-13 13:27:03,278 [main ] INFO  ExtensionLoader - Initializing HTTP Fuzzer - Allows to fuzz HTTP messages.
2026-02-13 13:27:03,278 [main ] INFO  ExtensionLoader - Initializing ExtensionGettingStarted - The ZAP Getting Started Guide
2026-02-13 13:27:03,278 [main ] INFO  ExtensionLoader - Initializing GraalVM JavaScript Engine Extension - Provides the GraalVM JavaScript engine for ZAP scripting.
2026-02-13 13:27:05,796 [main ] INFO  ExtensionLoader - Initializing ExtensionGraphQl - Allows you to inspect and attack GraphQL endpoints.
2026-02-13 13:27:05,804 [main ] INFO  ExtensionLoader - Initializing GraphQL Automation - GraphQL Automation Framework Integration
2026-02-13 13:27:05,806 [main ] INFO  ExtensionLoader - Initializing GraphQL Spider - GraphQL Spider Integration
