cwe_id,base_score_mean,base_score_max,base_score_std,confidentiality_impact_numeric_mean,integrity_impact_numeric_mean,availability_impact_numeric_mean,attack_vector_<lambda>,privileges_required_<lambda>,user_interaction_<lambda>,cve_count,av_weight,pr_weight,actual_risk_score
CWE-706,7.55,9.8,1.8082432330147378,2.15,1.8,1.6,NETWORK,NONE,NONE,40,1.5,1.2,13.589999999999998
CWE-73,6.6,9.1,1.9761916236370736,1.5625,1.1875,0.8125,NETWORK,NONE,NONE,16,1.5,1.2,11.879999999999997
CWE-732,7.034026465028355,9.9,1.5377740724121751,2.288718929254302,1.9523809523809523,1.7041984732824427,LOCAL,LOW,NONE,529,1.0,1.0,7.034026465028355
CWE-74,7.527192982456141,10.0,1.7095355111183916,1.9626373626373625,2.10989010989011,1.7340659340659341,NETWORK,NONE,NONE,456,1.5,1.2,13.548947368421052
CWE-749,7.375,8.5,0.8770214744615246,3.0,1.25,0.25,NETWORK,LOW,NONE,4,1.5,1.0,11.0625
CWE-754,6.629279279279279,9.8,1.3352846133215328,0.746606334841629,0.9,2.3098591549295775,NETWORK,NONE,NONE,222,1.5,1.2,11.9327027027027
CWE-755,6.520338983050848,9.8,1.5269439111600969,0.9523809523809523,0.8333333333333334,2.217993079584775,NETWORK,NONE,NONE,295,1.5,1.2,11.736610169491525
CWE-759,4.9,4.9,0.0,3.0,0.0,0.0,NETWORK,HIGH,NONE,1,1.5,0.8,5.880000000000001
CWE-762,7.4,7.4,0.0,0.0,0.0,3.0,ADJACENT_NETWORK,NONE,NONE,1,1.2,1.2,10.656
CWE-763,7.1499999999999995,9.8,1.5035883006254664,1.5,1.5,2.782608695652174,LOCAL,LOW,NONE,46,1.0,1.0,7.1499999999999995
CWE-77,8.709209383145092,10.0,1.241591678500052,2.9008695652173913,2.8991304347826086,2.8730434782608696,NETWORK,NONE,NONE,1151,1.5,1.2,15.676576889661163
CWE-770,6.630514705882353,9.9,1.0982435800446564,0.15808823529411764,0.17095588235294118,2.814814814814815,NETWORK,NONE,NONE,544,1.5,1.2,11.934926470588234
CWE-772,6.535555555555556,9.8,1.3668403437316756,0.2222222222222222,0.06666666666666667,2.522727272727273,NETWORK,NONE,NONE,45,1.5,1.2,11.764000000000001
